tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
169,2021-04-01 14:19:37.4700,2021-04-01 14:22:27.0260,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3213,Van Vorst Park,40.71848892,-74.047726625,35358,Customer,1970,0
333,2021-04-01 14:27:25.5600,2021-04-01 14:32:58.6660,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,43629,Customer,1970,0
550,2021-04-01 14:29:10.3360,2021-04-01 14:38:20.3450,3213,Van Vorst Park,40.71848892,-74.047726625,3203,Hamilton Park,40.727595965999996,-74.044247311,35358,Customer,1970,0
236,2021-04-01 14:33:30.0280,2021-04-01 14:37:26.9660,3640,Journal Square,40.733670000000004,-74.0625,3201,Dey St,40.737711,-74.066921,48929,Customer,1970,0
493,2021-04-01 14:33:55.4420,2021-04-01 14:42:08.9390,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,40975,Customer,1970,0
264,2021-04-01 14:41:39.9920,2021-04-01 14:46:04.1390,3203,Hamilton Park,40.727595965999996,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42601,Customer,1970,0
636,2021-04-01 14:51:29.5810,2021-04-01 15:02:06.4050,3207,Oakland Ave,40.7376037,-74.05247829999999,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42825,Customer,1970,0
257,2021-04-01 14:53:33.1990,2021-04-01 14:57:51.1120,3211,Newark Ave,40.72152515,-74.046304543,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,54261,Customer,1970,0
369,2021-04-01 14:56:05.8880,2021-04-01 15:02:15.3030,3267,Morris Canal,40.7124188237569,-74.03852552175522,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42674,Customer,1970,0
388,2021-04-01 15:00:04.6920,2021-04-01 15:06:33.0120,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3267,Morris Canal,40.7124188237569,-74.03852552175522,45464,Customer,1970,0
388,2021-04-01 15:06:37.5890,2021-04-01 15:13:06.0740,3279,Dixon Mills,40.72163014263835,-74.04996782541275,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,44682,Customer,1970,0
697,2021-04-01 15:07:06.7700,2021-04-01 15:18:44.2670,3210,Pershing Field,40.742677141,-74.051788633,3209,Brunswick St,40.7241765,-74.05065640000001,42250,Customer,1970,0
233,2021-04-01 15:07:30.2050,2021-04-01 15:11:24.0740,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3275,Columbus Drive,40.71835519823214,-74.03891444206238,45240,Customer,1970,0
409,2021-04-01 15:10:54.5350,2021-04-01 15:17:44.3300,3206,Hilltop,40.7311689,-74.0575736,3186,Grove St PATH,40.71958611647166,-74.0431174635887,44684,Customer,1970,0
564,2021-04-01 15:16:57.9620,2021-04-01 15:26:22.4220,3213,Van Vorst Park,40.71848892,-74.047726625,3202,Newport PATH,40.7272235,-74.03375890000001,32540,Customer,1970,0
1031,2021-04-01 15:25:58.0700,2021-04-01 15:43:10.0240,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3280,Astor Place,40.71928220070703,-74.07126188278198,45340,Customer,1970,0
315,2021-04-01 15:28:21.5100,2021-04-01 15:33:36.5520,3203,Hamilton Park,40.727595965999996,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.0431174635887,44403,Customer,1970,0
284,2021-04-01 15:30:21.3460,2021-04-01 15:35:06.1220,3211,Newark Ave,40.72152515,-74.046304543,3638,Washington St,40.7242941,-74.0354826,45354,Customer,1970,0
488,2021-04-01 15:33:21.8580,2021-04-01 15:41:30.3600,3195,Sip Ave,40.73089709786179,-74.06391263008119,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,40465,Customer,1970,0
148,2021-04-01 15:34:31.7000,2021-04-01 15:37:00.4080,3194,McGinley Square,40.7253399253558,-74.06762212514876,3195,Sip Ave,40.73089709786179,-74.06391263008119,44381,Customer,1970,0
432,2021-04-01 15:38:20.2610,2021-04-01 15:45:32.6130,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,40975,Customer,1970,0
837,2021-04-01 15:41:42.7870,2021-04-01 15:55:40.6650,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,42432,Customer,1970,0
180,2021-04-01 15:44:22.7710,2021-04-01 15:47:22.8980,3194,McGinley Square,40.7253399253558,-74.06762212514876,3195,Sip Ave,40.73089709786179,-74.06391263008119,42805,Customer,1970,0
573,2021-04-01 15:49:46.6750,2021-04-01 15:59:20.0710,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3681,Grand St,40.71517767732029,-74.03768330812454,28619,Customer,1970,0
923,2021-04-01 15:51:05.0280,2021-04-01 16:06:28.5080,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,3681,Grand St,40.71517767732029,-74.03768330812454,31966,Customer,1970,0
682,2021-04-01 15:52:40.7770,2021-04-01 16:04:03.7210,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,3185,City Hall,40.717732500000004,-74.04384499999999,43236,Customer,1970,0
242,2021-04-01 15:55:07.2070,2021-04-01 15:59:09.3130,3194,McGinley Square,40.7253399253558,-74.06762212514876,3195,Sip Ave,40.73089709786179,-74.06391263008119,38674,Customer,1970,0
418,2021-04-01 15:57:16.8240,2021-04-01 16:04:15.6740,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,3186,Grove St PATH,40.71958611647166,-74.0431174635887,40465,Customer,1970,0
745,2021-04-01 15:59:17.7630,2021-04-01 16:11:43.1260,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,3638,Washington St,40.7242941,-74.0354826,54261,Customer,1970,0
1326,2021-04-01 16:03:37.8810,2021-04-01 16:25:44.4630,3202,Newport PATH,40.7272235,-74.03375890000001,3198,Heights Elevator,40.748715945380226,-74.04044330120088,44392,Customer,1970,0
168,2021-04-01 16:05:26.7790,2021-04-01 16:08:15.4110,3202,Newport PATH,40.7272235,-74.03375890000001,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,42311,Customer,1970,0
174,2021-04-01 16:06:50.5110,2021-04-01 16:09:44.9680,3194,McGinley Square,40.7253399253558,-74.06762212514876,3195,Sip Ave,40.73089709786179,-74.06391263008119,45582,Customer,1970,0
257,2021-04-01 16:19:23.9140,2021-04-01 16:23:41.5140,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3279,Dixon Mills,40.72163014263835,-74.04996782541275,28551,Customer,1970,0
546,2021-04-01 16:20:44.4050,2021-04-01 16:29:50.6490,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3186,Grove St PATH,40.71958611647166,-74.0431174635887,45240,Customer,1970,0
144,2021-04-01 16:23:28.6100,2021-04-01 16:25:53.3350,3639,Harborside,40.71925170000001,-74.034234,3184,Paulus Hook,40.7141454,-74.0335519,48740,Customer,1970,0
288,2021-04-01 16:24:19.0500,2021-04-01 16:29:07.3690,3279,Dixon Mills,40.72163014263835,-74.04996782541275,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42160,Customer,1970,0
250,2021-04-01 16:24:27.1830,2021-04-01 16:28:38.0310,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3186,Grove St PATH,40.71958611647166,-74.0431174635887,31287,Customer,1970,0
445,2021-04-01 16:27:22.2500,2021-04-01 16:34:48.0250,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,43629,Customer,1970,0
885,2021-04-01 16:29:24.7950,2021-04-01 16:44:09.9700,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,18220,Customer,1970,0
617,2021-04-01 16:33:41.4350,2021-04-01 16:43:58.5570,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,45240,Customer,1970,0
197,2021-04-01 16:36:19.6420,2021-04-01 16:39:36.8240,3483,Montgomery St,40.71942,-74.05099,3185,City Hall,40.717732500000004,-74.04384499999999,28607,Customer,1970,0
348,2021-04-01 16:39:34.1910,2021-04-01 16:45:22.3550,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3681,Grand St,40.71517767732029,-74.03768330812454,42160,Customer,1970,0
356,2021-04-01 16:46:31.9760,2021-04-01 16:52:28.0580,3638,Washington St,40.7242941,-74.0354826,3211,Newark Ave,40.72152515,-74.046304543,45354,Customer,1970,0
402,2021-04-01 16:48:37.8080,2021-04-01 16:55:20.4530,3639,Harborside,40.71925170000001,-74.034234,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,44911,Customer,1970,0
340,2021-04-01 16:49:21.6160,2021-04-01 16:55:02.2930,3202,Newport PATH,40.7272235,-74.03375890000001,3639,Harborside,40.71925170000001,-74.034234,32540,Customer,1970,0
538,2021-04-01 16:50:05.6890,2021-04-01 16:59:04.0650,3202,Newport PATH,40.7272235,-74.03375890000001,3213,Van Vorst Park,40.71848892,-74.047726625,42812,Customer,1970,0
1194,2021-04-01 16:56:00.7050,2021-04-01 17:15:55.0230,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3203,Hamilton Park,40.727595965999996,-74.044247311,39421,Customer,1970,0
462,2021-04-01 16:56:35.2660,2021-04-01 17:04:18.0080,3185,City Hall,40.717732500000004,-74.04384499999999,3186,Grove St PATH,40.71958611647166,-74.0431174635887,46935,Customer,1970,0
611,2021-04-01 16:59:18.3560,2021-04-01 17:09:30.3470,3210,Pershing Field,40.742677141,-74.051788633,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,28367,Customer,1970,0
147,2021-04-01 17:00:43.3410,2021-04-01 17:03:10.5710,3681,Grand St,40.71517767732029,-74.03768330812454,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,42160,Customer,1970,0
350,2021-04-01 17:04:31.6260,2021-04-01 17:10:22.4700,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3186,Grove St PATH,40.71958611647166,-74.0431174635887,44059,Customer,1970,0
640,2021-04-01 17:05:05.9420,2021-04-01 17:15:46.6200,3195,Sip Ave,40.73089709786179,-74.06391263008119,3203,Hamilton Park,40.727595965999996,-74.044247311,42240,Customer,1970,0
175,2021-04-01 17:06:21.3930,2021-04-01 17:09:16.8530,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,32440,Customer,1970,0
729,2021-04-01 17:07:28.8490,2021-04-01 17:19:38.4390,3194,McGinley Square,40.7253399253558,-74.06762212514876,3195,Sip Ave,40.73089709786179,-74.06391263008119,29814,Customer,1970,0
298,2021-04-01 17:07:42.6980,2021-04-01 17:12:40.9870,3679,Bergen Ave,40.72210378668603,-74.07145500183104,3195,Sip Ave,40.73089709786179,-74.06391263008119,54252,Customer,1970,0
448,2021-04-01 17:12:11.9540,2021-04-01 17:19:40.0320,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3213,Van Vorst Park,40.71848892,-74.047726625,43544,Customer,1970,0
217,2021-04-01 17:13:03.1900,2021-04-01 17:16:40.7410,3195,Sip Ave,40.73089709786179,-74.06391263008119,3194,McGinley Square,40.7253399253558,-74.06762212514876,44381,Customer,1970,0
295,2021-04-01 17:13:19.7120,2021-04-01 17:18:15.5050,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,3186,Grove St PATH,40.71958611647166,-74.0431174635887,28367,Customer,1970,0
